Crop,Climate zone,State,County,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnualSum,MonthlyStdDev
Corn,Humid Continental (cool summer),Minnesota,Nobles,2020,0.017653,0.017018,0.039624,0.008636,0.090424,0.122174,0.061468,0.06731,0.056642,0.054229,0.016764,0.000254,0.552196,0.034973778
Corn,Humid Continental (cool summer),Minnesota,Nobles,2021,0.017653,0.000508,0.035306,0.057912,0.001778,0.091694,0.076454,0.004826,0.058928,0.036322,0.006096,0.004572,0.392049,0.030595454
Corn,Humid Continental (cool summer),Minnesota,Nobles,2022,0.002794,0.000762,0.01524,0.057912,0.090424,0.060198,0.076454,0.06731,0.056642,0.054229,0.024511,0.030988,0.537464,0.02800066
Corn,Humid Continental (cool summer),Minnesota,Nobles,2023,0.017653,0.017018,0.049022,0.040894,0.044704,0.091694,0.04953,0.069342,0.056642,0.054229,0.024511,0.025146,0.540385,0.021197555
Corn,Humid Continental (cool summer),Minnesota,Nobles,2024,0.017653,0.00381,0.042164,0.057912,0.195326,0.091694,0.076454,0.04191,0.056642,0.054229,0.024511,0.030988,0.693293,0.047675109
Corn,Humid Continental (cool summer),Minnesota,Fargo,2004,0.018542,0.018288,0.040132,0.004064,0.157988,0.027178,0.106934,0.051054,0.119126,0.089916,0.00127,0.025654,0.660146,0.048874979
Corn,Humid Continental (cool summer),Minnesota,Fargo,2005,0.028448,0.015494,0.003302,0.022098,0.061468,0.215138,0.026924,0.191008,0.042926,0.060706,0.072136,0.033528,0.773176,0.065101868
Corn,Humid Continental (cool summer),Minnesota,Fargo,2006,0.009398,0.011684,0.030988,0.032512,0.050546,0.034036,0.056642,0.056134,0.099314,0.024384,0.003048,0.026924,0.43561,0.025321023
Corn,Humid Continental (cool summer),Minnesota,Fargo,2007,0.00254,0.018542,0.055372,0.080264,0.098298,0.146812,0.03048,0.060706,0.086106,0.044704,0.002286,0.040386,0.666496,0.040538052
Corn,Humid Continental (cool summer),Minnesota,Fargo,2008,0.002286,0.017018,0.024892,0.059182,0.048006,0.153924,0.045212,0.11557,0.129032,0.113284,0.028702,0.04572,0.782828,0.04755963
Corn,Humid Continental (cool summer),Minnesota,Fargo,2009,0.01397,0.032766,0.117348,0.020574,0.041148,0.074422,0.029972,0.054102,0.052324,0.138176,0.010414,0.04699,0.632206,0.038034674
Corn,Humid Continental (cool summer),Minnesota,Fargo,2010,0.039878,0.021844,0.035814,0.037846,0.068326,0.108204,0.107442,0.070104,0.147828,0.048514,0.018542,0.04445,0.748792,0.038100188
Corn,Humid Continental (cool summer),Minnesota,Fargo,2011,0.02286,0.002032,0.046736,0.051308,0.10922,0.112014,0.11049,0.108204,0.005842,0.023876,0.006604,0.009144,0.60833,0.04437379
Corn,Humid Continental (cool summer),Minnesota,Fargo,2012,0.014732,0.02413,0.019812,0.02794,0.038354,0.0635,0.073152,0.023368,0.003048,0.056388,0.014986,0.009398,0.368808,0.021486158
Corn,Humid Continental (cool summer),Minnesota,Fargo,2013,0.024638,0.030988,0.036576,0.053594,0.181864,0.196342,0.02286,0.009906,0.111506,0.106172,0.01016,0.030734,0.81534,0.062834718
Corn,Humid Continental (cool summer),Minnesota,Fargo,2014,0.019558,0.002794,0.018288,0.087122,0.050546,0.144526,0.041656,0.053594,0.06223,0.008382,0.018034,0.00635,0.51308,0.039513717
Corn,Humid Continental (cool summer),Minnesota,Fargo,2015,0.01016,0.014478,0.00762,0.024892,0.19939,0.06985,0.070612,0.032766,0.031242,0.030226,0.033782,0.016256,0.541274,0.050469408
Corn,Humid Continental (cool summer),Minnesota,Fargo,2016,0.017526,0.00762,0.024384,0.053594,0.036068,0.06223,0.151892,0.039624,0.06604,0.060706,0.04572,0.032258,0.597662,0.03542313
Corn,Humid Continental (cool summer),Minnesota,Fargo,2017,0.024892,0.020066,0.008382,0.03556,0.028956,0.0635,0.026924,0.05842,0.071882,0.019558,0.008382,0.019558,0.38608,0.020302618
Corn,Humid Continental (cool summer),Minnesota,Fargo,2018,0.005334,0.021082,0.049022,0.009398,0.049276,0.102362,0.072644,0.064008,0.0635,0.06858,0.015494,0.028702,0.549402,0.028708953
Corn,Humid Continental (cool summer),Minnesota,Fargo,2019,0.014986,0.042926,0.040132,0.032258,0.07366,0.091694,0.119888,0.098806,0.113538,0.096012,0.025908,0.043688,0.793496,0.035245697
Corn,Humid Continental (cool summer),Minnesota,Fargo,2020,0.015748,0.002286,0.003556,0.040894,0.037338,0.06731,0.1397,0.105664,0.028702,0.027178,0.006858,0.017018,0.492252,0.041079543
Corn,Humid Continental (cool summer),Minnesota,Fargo,2021,0.009398,0.007366,0.007112,0.041656,0.009398,0.091186,0.016764,0.07239,0.079756,0.075184,0.030734,0.04699,0.487934,0.030522209
Corn,Humid Continental (cool summer),Minnesota,Fargo,2022,0.016002,0.013208,0.012954,0.13843,0.080772,0.057658,0.07747,0.061976,0.0127,0.004572,0.018796,0.049276,0.543814,0.03848323
Corn,Humid Continental (cool summer),Minnesota,Fargo,2023,0.005842,0.009144,0.045466,0.037846,0.065278,0.09525,0.02413,0.1016,0.056134,0.046228,0.00508,0.0762,0.568198,0.031717549
Corn,Humid Continental (cool summer),Minnesota,Fargo,2024,0.00381,0.017272,0.012192,0.06858,0.150368,0.103632,0.023622,0.073152,0.002032,0.054229,0.024511,0.030988,0.564388,0.043190966
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2004,0.007366,0.033274,0.056896,0.05461,0.199644,0.148082,0.15621,0.131826,0.228346,0.060706,0.044704,0.019558,1.141222,0.071076403
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2005,0.034544,0.026416,0.03429,0.067818,0.098806,0.093218,0.131318,0.184404,0.230632,0.017526,0.067818,0.015494,1.002284,0.065822262
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2006,0.008128,0.012192,0.063754,0.165862,0.096012,0.112268,0.071628,0.129032,0.078232,0.015748,0.056896,0.042418,0.85217,0.046797671
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2007,0.029718,0.038862,0.043942,0.055626,0.10922,0.13208,0.099822,0.311658,0.094488,0.126238,0.005842,0.03683,1.084326,0.077546865
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2008,0.02032,0.019812,0.009652,0.175514,0.096266,0.225552,0.076454,0.05207,0.044704,0.071628,0.039116,0.039878,0.870966,0.062872408
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2009,0.014732,0.022352,0.026416,0.064008,0.113538,0.175006,0.062484,0.109982,0.032258,0.229616,0.009398,0.058674,0.918464,0.065845006
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2010,0.01778,0.013716,0.030988,0.048006,0.05334,0.17399,0.155702,0.066548,0.26289,0.02921,0.075438,0.075438,1.003046,0.072493046
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2011,0.018542,0.019812,0.061722,0.141732,0.11557,0.101854,0.089662,0.02286,0.108458,0.01905,0.006096,0.03175,0.737108,0.045479222
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2012,0.018796,0.03175,0.045466,0.103886,0.1016,0.084074,0.0508,0.05461,0.041148,0.080518,0.014732,0.038862,0.666242,0.028994865
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2013,0.017526,0.022352,0.08255,0.174498,0.371856,0.13716,0.08128,0.035306,0.037084,0.183134,0.042418,0.022352,1.207516,0.099464318
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2014,0.018034,0.029972,0.032766,0.155194,0.078232,0.233934,0.037846,0.10033,0.11049,0.0635,0.023876,0.030988,0.915162,0.062385413
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2015,0.009906,0.01524,0.025654,0.119888,0.136144,0.135382,0.116586,0.0889,0.083058,0.034544,0.083058,0.091948,0.940308,0.044238009
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2016,0.014986,0.008382,0.08763,0.05207,0.124968,0.128524,0.177292,0.130302,0.254508,0.09271,0.041402,0.050292,1.163066,0.068384711
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2017,0.046228,0.047244,0.043434,0.08763,0.124714,0.114554,0.151892,0.056896,0.0635,0.14351,0.01397,0.007112,0.900684,0.046716843
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2018,0.065532,0.011938,0.017272,0.08382,0.177038,0.160528,0.121412,0.102108,0.17145,0.101346,0.047244,0.042926,1.102614,0.055126595
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2019,0.030734,0.017018,0.0254,0.057912,0.221234,0.195072,0.118618,0.06731,0.213614,0.187452,0.049022,0.030988,1.214374,0.07749848
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2020,0.017653,0.017018,0.042164,0.057912,0.090424,0.140208,0.076454,0.117094,0.056642,0.054229,0.024511,0.001016,0.695325,0.040399081
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2021,0.007874,0.012954,0.057912,0.017272,0.117094,0.049022,0.069596,0.28321,0.045212,0.04953,0.04826,0.02032,0.778256,0.071771245
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2022,0.017653,0.00508,0.064008,0.057912,0.100076,0.091694,0.272796,0.154432,0.03048,0.054229,0.024892,0.025654,0.898906,0.07204727
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2023,0.041656,0.058166,0.042164,0.103378,0.066802,0.09652,0.05842,0.0254,0.104902,0.117348,0.000508,0.031242,0.746506,0.03503811
Corn,Humid Continental (cool summer),Minnesota,Grand Meadow,2024,0.007874,0.003302,0.049784,0.087376,0.131318,0.266446,0.096012,0.16383,0.024892,0.054229,0.024511,0.030988,0.940562,0.07409589
Corn,Humid Continental (warm summer),Iowa,Arnold,2004,0.002794,0.017018,0.026416,0.045974,0.04318,0.059436,0.10541,0.041402,0.106172,0.018288,0.028702,0.030988,0.52578,0.03120541
Corn,Humid Continental (warm summer),Iowa,Arnold,2005,0.017653,0.009144,0.042164,0.055626,0.090424,0.133096,0.028702,0.108712,0.014732,0.014732,0.05207,0.006096,0.573151,0.040422541
Corn,Humid Continental (warm summer),Iowa,Arnold,2006,0.008128,0.004572,0.042164,0.032004,0.001778,0.093726,0.05334,0.061468,0.03556,0.022098,0.024511,0.030988,0.410337,0.025137507
Corn,Humid Continental (warm summer),Iowa,Arnold,2007,0.016002,0.017018,0.042164,0.143764,0.287782,0.078486,0.076454,0.06731,0.029464,0.082296,0.024511,0.030988,0.896239,0.073377292
Corn,Humid Continental (warm summer),Iowa,Arnold,2008,0.017653,0.002032,0.042164,0.057912,0.090424,0.091694,0.076454,0.06731,0.056642,0.054229,0.024511,0.00508,0.586105,0.029660027
Corn,Humid Continental (warm summer),Iowa,Arnold,2009,0.005334,0.02286,0.012954,0.046228,0.020574,0.167894,0.076454,0.075438,0.050038,0.115062,0.024511,0.01016,0.627507,0.047114208
Corn,Humid Continental (warm summer),Iowa,Arnold,2010,0.017653,0.017018,0.055626,0.059944,0.052324,0.18034,0.124714,0.06731,0.03429,0.031242,0.024511,0.030988,0.69596,0.046532123
Corn,Humid Continental (warm summer),Iowa,Arnold,2011,0.017653,0.017018,0.042164,0.057912,0.090424,0.091694,0.076454,0.06731,0.056642,0.054229,0.024511,0.030988,0.626999,0.025236355
Corn,Humid Continental (warm summer),Iowa,Arnold,2012,0.017653,0.027178,0.042164,0.057912,0.090424,0.091694,0.076454,0.01016,0.017526,0.017018,0.00127,0.030988,0.480441,0.030328685
Corn,Humid Continental (warm summer),Iowa,Arnold,2013,0.003302,0.013208,0.009398,0.04191,0.097282,0.107696,0.051816,0.079756,0.0127,0.032004,0.01016,0.000762,0.459994,0.036279858
Corn,Humid Continental (warm summer),Iowa,Arnold,2014,0,0.007366,0.05334,0.031496,0.045466,0.25019,0.045974,0.14224,0.03683,0.019812,0.024511,0.030988,0.688213,0.067539914
Corn,Humid Continental (warm summer),Iowa,Arnold,2015,0.003048,0.010922,0.042164,0.028448,0.10668,0.076454,0.133858,0.07874,0.05461,0.05207,0.038354,0.030988,0.656336,0.036839974
Corn,Humid Continental (warm summer),Iowa,Arnold,2016,0.017526,0.02667,0.007874,0.159258,0.106426,0.064008,0.10668,0.0127,0.056642,0.054229,0.024511,0.030988,0.667512,0.044710283
Corn,Humid Continental (warm summer),Iowa,Arnold,2017,0.000508,0,0.041148,0.024638,0.06985,0.010668,0.0127,0.13843,0.10668,0.054229,0,0.030988,0.489839,0.042723829
Corn,Humid Continental (warm summer),Iowa,Arnold,2018,0.01397,0.02286,0.042164,0.057912,0.090424,0.14732,0.11938,0,0.03302,0.0635,0.02286,0.08382,0.69723,0.042954187
Corn,Humid Continental (warm summer),Iowa,Arnold,2019,0.002032,0.014478,0.14732,0.057912,0.090424,0.091694,0.076454,0.06731,0.019304,0.041402,0.024511,0.030988,0.663829,0.039954419
Corn,Humid Continental (warm summer),Iowa,Arnold,2020,0.017653,0.017018,0.042164,0.057912,0.090424,0.091694,0.076454,0.06731,0.056642,0.054229,0.024511,0.030988,0.626999,0.025236355
Corn,Humid Continental (warm summer),Iowa,Arnold,2021,0.017653,0.017018,0.042164,0.057912,0.090424,0.091694,0.076454,0.06731,0.056642,0.054229,0.024511,0.030988,0.626999,0.025236355
Corn,Humid Continental (warm summer),Iowa,Arnold,2022,0.017653,0.017018,0.042164,0.057912,0.027686,0.043942,0.069342,0.013462,0.028448,0.015748,0.001524,0.030226,0.365125,0.018892963
Corn,Humid Continental (warm summer),Iowa,Arnold,2023,0.017653,0.017018,0.008382,0.003302,0.256286,0.091694,0.076454,0.035814,0.103378,0.061214,0.035814,0.029718,0.736727,0.066627055
Corn,Humid Continental (warm summer),Iowa,Arnold,2024,0.01778,0.04191,0.028448,0.077978,0.073152,0.132842,0.070358,0.033274,0.010414,0.054229,0.024511,0.030988,0.595884,0.03296276
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2004,0.0381,0.041402,0.083058,0.052324,0.18796,0.06604,0.090678,0.142494,0.032512,0.04445,0.064008,0.01524,0.858266,0.047431109
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2005,0.021336,0.045466,0.040894,0.120142,0.131064,0.118872,0.083312,0.033782,0.035814,0.023368,0.033782,0.024384,0.712216,0.040117306
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2006,0.01905,0.005588,0.103124,0.109474,0.035814,0.046482,0.11049,0.147828,0.101092,0.03937,0.065024,0.064262,0.847598,0.041609699
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2007,0.018796,0.061468,0.080264,0.116586,0.150876,0.076708,0.065024,0.179832,0.089408,0.139446,0.007112,0.07366,1.05918,0.048996934
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2008,0.011176,0.062484,0.040894,0.147828,0.097536,0.34163,0.207772,0.049276,0.091948,0.094742,0.059436,0.050546,1.255268,0.087362329
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2009,0.02032,0.014732,0.120142,0.14351,0.096266,0.119126,0.059944,0.108966,0.030988,0.166624,0.03302,0.071882,0.98552,0.048843165
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2010,0.042418,0.027432,0.055372,0.119126,0.121666,0.340614,0.138176,0.27305,0.10414,0.01524,0.058166,0.019558,1.314958,0.097906675
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2011,0.027178,0.019558,0.054864,0.126238,0.153416,0.261112,0.037338,0.080772,0.018034,0.031242,0.070612,0.064516,0.94488,0.06816111
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2012,0.011176,0.044958,0.043942,0.149606,0.08001,0.055118,0.031496,0.058928,0.024892,0.084836,0.033782,0.049022,0.667766,0.034838835
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2013,0.028194,0.044196,0.042418,0.165862,0.184404,0.082042,0.025908,0.024892,0.059944,0.099568,0.034544,0.020574,0.812546,0.053376521
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2014,0.0127,0.046736,0.016002,0.121412,0.08636,0.190246,0.060198,0.288544,0.107442,0.096012,0.014732,0.026416,1.0668,0.078906017
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2015,0.03429,0.017018,0.012446,0.063754,0.109982,0.21336,0.182118,0.10795,0.13335,0.035814,0.085344,0.138176,1.133602,0.062234014
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2016,0.017272,0.027686,0.050292,0.085598,0.104648,0.037338,0.177292,0.143256,0.1397,0.023114,0.035052,0.035814,0.877062,0.05297774
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2017,0.044196,0.019558,0.088138,0.105664,0.122682,0.059436,0.036322,0.0889,0.072136,0.1143,0.00635,0.010668,0.76835,0.039051685
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2018,0.026416,0.044704,0.060198,0.04318,0.139446,0.23876,0.009652,0.099822,0.211328,0.080264,0.040132,0.07366,1.067562,0.069436923
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2019,0.038608,0.058166,0.063246,0.05715,0.2413,0.117094,0.14224,0.156464,0.12446,0.188214,0.038862,0.027686,1.25349,0.065220827
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2020,0.040894,0.005334,0.089662,0.045212,0.141478,0.149098,0.051308,0.034798,0.100584,0.101854,0.062992,0.049784,0.872998,0.042131914
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2021,0.03429,0.01778,0.065532,0.032512,0.071374,0.069342,0.148844,0.054102,0.021082,0.16002,0.038608,0.019558,0.733044,0.045617992
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2022,0.036576,0.005588,0.08763,0.09271,0.075438,0.07874,0.05715,0.102616,0.089408,0.026162,0.074422,0.050546,0.776986,0.028567277
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2023,0.041656,0.051054,0.033782,0.064516,0.085344,0.08128,0.058928,0.06096,0.061722,0.04826,0.006604,0.039116,0.633222,0.020457416
Corn,Humid Continental (warm summer),Nebraska,Des Moines,2024,0.048514,0.010668,0.060452,0.06477,0.15367,0.104902,0.228346,0.07366,0.01524,0.054229,0.024511,0.030988,0.86995,0.06066983
Corn,Humid Continental (warm summer),Illinois,Champaign,2004,0.055372,0.014224,0.196596,0.047752,0.111252,0.095758,0.145542,0.091186,0.055626,0.094234,0.131064,0.051308,1.089914,0.0483343
Corn,Humid Continental (warm summer),Illinois,Champaign,2005,0.15748,0.0508,0.043942,0.101092,0.024638,0.061468,0.10922,0.057404,0.143764,0.032512,0.094488,0.047244,0.924052,0.041703061
Corn,Humid Continental (warm summer),Illinois,Champaign,2006,0.045212,0.013208,0.087884,0.112014,0.077724,0.04191,0.19939,0.0762,0.034036,0.096012,0.05969,0.118872,0.962152,0.047236185
Corn,Humid Continental (warm summer),Illinois,Champaign,2007,0.076962,0.052578,0.056642,0.061722,0.041402,0.144272,0.087376,0.037592,0.052324,0.083566,0.09271,0.07493,0.862076,0.027810745
Corn,Humid Continental (warm summer),Illinois,Champaign,2008,0.058674,0.151384,0.072136,0.076454,0.154178,0.16256,0.200406,0.020066,0.20701,0.075184,0.033274,0.124206,1.335532,0.060946225
Corn,Humid Continental (warm summer),Illinois,Champaign,2009,0.017272,0.042672,0.066548,0.176276,0.145034,0.112268,0.16002,0.142748,0.02032,0.223266,0.099568,0.095758,1.30175,0.061491651
Corn,Humid Continental (warm summer),Illinois,Champaign,2010,0.031496,0.017018,0.073914,0.052832,0.086614,0.211582,0.09525,0.041656,0.08128,0.02794,0.09779,0.06477,0.882142,0.049083318
Corn,Humid Continental (warm summer),Illinois,Champaign,2011,0.016764,0.095758,0.034544,0.188468,0.125222,0.106172,0.040132,0.044704,0.069342,0.062484,0.119888,0.069596,0.973074,0.046322586
Corn,Humid Continental (warm summer),Illinois,Champaign,2012,0.017653,0.028702,0.041402,0.058928,0.078994,0.057912,0.015494,0.141224,0.145034,0.138684,0.027178,0.052578,0.803783,0.046576531
Corn,Humid Continental (warm summer),Illinois,Champaign,2013,0.065278,0.081534,0.033782,0.17907,0.094996,0.159258,0.089662,0.009144,0.017272,0.091186,0.039116,0.030988,0.891286,0.051259824
Corn,Humid Continental (warm summer),Illinois,Champaign,2014,0.04064,0.076708,0.035306,0.100076,0.111252,0.208534,0.22098,0.038608,0.087376,0.125984,0.061468,0.045974,1.152906,0.060288237
Corn,Humid Continental (warm summer),Illinois,Champaign,2015,0.036322,0.031242,0.04318,0.091948,0.154178,0.232664,0.107188,0.080264,0.163576,0.031496,0.112014,0.189738,1.27381,0.064245638
Corn,Humid Continental (warm summer),Illinois,Champaign,2016,0.023114,0.030988,0.089154,0.082804,0.096266,0.180848,0.112776,0.10541,0.136906,0.047752,0.084328,0.03429,1.024636,0.044649467
Corn,Humid Continental (warm summer),Illinois,Champaign,2017,0.064262,0.010414,0.060452,0.147574,0.150114,0.05207,0.07112,0.056388,0.021336,0.160274,0.077724,0.011684,0.883412,0.050364944
Corn,Humid Continental (warm summer),Illinois,Champaign,2018,0.02794,0.155448,0.080772,0.058928,0.08763,0.209804,0.084328,0.10541,0.119888,0.058166,0.094234,0.085598,1.168146,0.045744115
Corn,Humid Continental (warm summer),Illinois,Champaign,2019,0.09779,0.04826,0.129286,0.124206,0.154432,0.071628,0.085852,0.055626,0.085344,0.127,0.048514,0.046228,1.074166,0.035624267
Corn,Humid Continental (warm summer),Illinois,Champaign,2020,0.132842,0.067818,0.08382,0.141986,0.103886,0.149352,0.120142,0.034544,0.073914,0.065786,0.058166,0.036322,1.068578,0.038184356
Corn,Humid Continental (warm summer),Illinois,Champaign,2021,0.017653,0.055626,0.104394,0.053594,0.089154,0.183896,0.11811,0.115316,0.078994,0.18796,0.03302,0.075184,1.112901,0.051063533
Corn,Humid Continental (warm summer),Illinois,Champaign,2022,0.016002,0.076708,0.119126,0.064008,0.104648,0.020574,0.061468,0.125476,0.122428,0.059182,0.046482,0.071628,0.88773,0.035864873
Corn,Humid Continental (warm summer),Illinois,Champaign,2023,0.05207,0.060706,0.096012,0.045974,0.050292,0.04445,0.076962,0.101346,0.083312,0.11049,0.016256,0.102362,0.840232,0.028116346
Corn,Humid Continental (warm summer),Illinois,Champaign,2024,0.140716,0.016256,0.052578,0.176022,0.160274,0.061468,0.192786,0.143256,0.065024,0.054229,0.024511,0.030988,1.118108,0.061588504
Corn,Humid Subtropical,Missouri,Cape Girardeau,2004,0.06223,0.038354,0.088392,0.076708,0.127508,0.051054,0.097536,0.11811,0.056642,0.118618,0.175006,0.051816,1.061974,0.038705141
Corn,Humid Subtropical,Missouri,Cape Girardeau,2005,0.119126,0.069596,0.0762,0.137414,0.069596,0.082804,0.144018,0.060706,0.117094,0.02286,0.0889,0.015494,1.003808,0.03900621
Corn,Humid Subtropical,Missouri,Cape Girardeau,2006,0.111252,0.051054,0.203708,0.088392,0.163322,0.039624,0.160274,0.113792,0.09017,0.148844,0.109982,0.088138,1.368552,0.045867341
Corn,Humid Subtropical,Missouri,Cape Girardeau,2007,0.129032,0.093218,0.042926,0.084582,0.087376,0.043688,0.064008,0.000254,0.136906,0.154178,0.039878,0.1905,1.066546,0.052897033
Corn,Humid Subtropical,Missouri,Cape Girardeau,2008,0.068834,0.16002,0.453136,0.167894,0.157734,0.05588,0.075438,0.090932,0.058674,0.075438,0.070358,0.09525,1.529588,0.10567783
Corn,Humid Subtropical,Missouri,Cape Girardeau,2009,0.014224,0.060706,0.103886,0.122174,0.137414,0.091186,0.054864,0.112776,0.06223,0.263652,0.04572,0.142748,1.21158,0.06195253
Corn,Humid Subtropical,Missouri,Cape Girardeau,2010,0.051308,0.035052,0.149352,0.151384,0.104648,0.042164,0.10795,0.0254,0.137668,0.012954,0.134874,0.048006,1.00076,0.050222394
Corn,Humid Subtropical,Missouri,Cape Girardeau,2011,0.00762,0.137414,0.115824,0.520954,0.171958,0.135128,0.049022,0.046228,0.257048,0.054102,0.24765,0.146558,1.889506,0.132416425
Corn,Humid Subtropical,Missouri,Cape Girardeau,2012,0.075438,0.047752,0.07874,0.03429,0.020066,0.034798,0.056896,0.06731,0.157734,0.065532,0.033528,0.043434,0.715518,0.034459561
Corn,Humid Subtropical,Missouri,Cape Girardeau,2013,0.090932,0.077216,0.06477,0.09271,0.08509,0.197104,0.019558,0.10033,0.011176,0.10668,0.04191,0.141224,1.0287,0.04880321
